,"alagr","asagr","afore","afish","amcoa","amnfm","amoth","afood","atobm","atext","aclth","aleat","awood","apapp","aprin","achem","arupl","aglas","anmmp","airon","ametp","amach","aequi","atreq","aothm","aelwa","acnst","afins","abuss","atrac","atrns","apuba","aeduc","aheal","adoms","aoths","ctoba","cmaiz","cothg","csuga","ccott","coicr","chort","ccttl","cpoul","coliv","cdair","cfore","cfish","cmcoa","cmdia","cmgol","cmpgm","cmoth","cfood","ctobm","ctext","cclth","cleat","cwood","cpapp","cprin","cchem","crupl","cglas","cnmmp","ciron","cmetp","cmach","cequi","ctreq","cothm","celec","cwate","ccnst","cfins","cbuss","ctrac","ctrns","cpuba","ceduc","cheal","cdoms","coths","trc","flabsk","flabus","fcap","fmix","ent","hhrur","hhurb","gov","atax","stax","mtax","dtax","s-i","dstk","row"
"cdoms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,44,,,,,,,,
"coths",13,3,,,2,26,6,2,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,29,1,27,5,65,59,2,7,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,184,,,,,,,,
"trc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,8,3,20,11,16,9,17,20,1,6,12,0,11,49,82,22,50,105,7,8,7,6,10,10,6,199,18,2,10,49,15,36,24,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"flabsk",216,,38,0,256,393,33,143,164,12,8,10,38,21,12,88,22,4,29,27,37,35,5,12,39,325,339,36,267,311,178,630,"1,378",137,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
"flabus",32,453,13,0,28,43,4,17,20,7,5,6,3,2,7,12,13,2,2,2,3,3,3,7,3,37,70,15,110,113,64,50,110,11,55,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fcap",111,397,35,0,176,258,22,93,103,12,8,9,34,17,12,63,22,4,22,18,26,25,5,11,26,204,130,185,234,471,366,67,167,20,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
"fmix",,,,,48,65,6,24,26,3,2,2,12,6,3,18,6,1,7,5,8,8,1,3,7,51,33,92,68,139,123,,33,6,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,064",,,,,,,,,,,,
"hhrur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,280",793,,781,225,,,-124,,,,,,,421
"hhurb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,290",685,,50,899,,,-39,,,,,,,842
"gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,274,,188,"1,575",362,"1,308",,,126
